20200301 191500;1.104160;1.104320;1.104020;1.104050;0
20200301 191600;1.104050;1.104210;1.104050;1.104170;0
20200301 191700;1.104170;1.104290;1.104050;1.104070;0
20200301 191800;1.104050;1.104110;1.104020;1.104020;0
20200301 191900;1.104020;1.104080;1.104010;1.104070;0
20200301 192000;1.104090;1.104170;1.104070;1.104130;0
20200301 192100;1.104130;1.104180;1.104120;1.104130;0
20200301 192200;1.104130;1.104140;1.104110;1.104120;0
20200301 192300;1.104120;1.104130;1.103980;1.104080;0
20200301 192400;1.104060;1.104060;1.103970;1.104020;0
20200301 192500;1.104010;1.104220;1.104010;1.104120;0
20200301 192600;1.104120;1.104290;1.104080;1.104170;0
20200301 192700;1.104170;1.104230;1.104160;1.104220;0
20200301 192800;1.104210;1.104230;1.104100;1.104120;0
20200301 192900;1.104120;1.104220;1.104070;1.104160;0
20200301 193000;1.104160;1.104370;1.104150;1.104370;0
20200301 193100;1.104380;1.104470;1.104310;1.104320;0
20200301 193200;1.104390;1.104420;1.104300;1.104370;0
20200301 193300;1.104370;1.104520;1.104370;1.104440;0
20200301 193400;1.104440;1.104580;1.104430;1.104520;0
20200301 193500;1.104520;1.104690;1.104480;1.104630;0
20200301 193600;1.104630;1.104700;1.104530;1.104580;0
20200301 193700;1.104610;1.104670;1.104510;1.104670;0
20200301 193800;1.104670;1.104830;1.104660;1.104810;0
20200301 193900;1.104820;1.104870;1.104710;1.104760;0
20200301 194000;1.104720;1.104760;1.104690;1.104710;0
20200301 194100;1.104710;1.104980;1.104710;1.104920;0
20200301 194200;1.104920;1.105040;1.104770;1.104920;0
20200301 194300;1.104920;1.105350;1.104910;1.105350;0
20200301 194400;1.105330;1.105630;1.105310;1.105500;0
20200301 194500;1.105500;1.105670;1.105430;1.105610;0
20200301 194600;1.105610;1.105720;1.105600;1.105710;0
20200301 194700;1.105700;1.105700;1.105620;1.105640;0
20200301 194800;1.105630;1.105630;1.105510;1.105560;0
20200301 194900;1.105550;1.105560;1.105360;1.105420;0
20200301 195000;1.105420;1.105520;1.105340;1.105450;0
20200301 195100;1.105460;1.105600;1.105440;1.105560;0
20200301 195200;1.105550;1.105930;1.105490;1.105870;0
20200301 195300;1.105880;1.105960;1.105780;1.105780;0
20200301 195400;1.105780;1.106330;1.105780;1.106330;0
20200301 195500;1.106340;1.106360;1.106150;1.106270;0
20200301 195600;1.106280;1.106370;1.106040;1.106070;0
20200301 195700;1.106060;1.106380;1.106050;1.106370;0
20200301 195800;1.106360;1.106360;1.106150;1.106310;0
20200301 195900;1.106310;1.106360;1.106240;1.106330;0
20200301 200000;1.106330;1.106480;1.106320;1.106360;0
20200301 200100;1.106350;1.106350;1.106140;1.106150;0
20200301 200200;1.106140;1.106140;1.105910;1.105990;0
20200301 200300;1.105990;1.106060;1.105910;1.105960;0
20200301 200400;1.105970;1.105990;1.105700;1.105700;0
20200301 200500;1.105700;1.105890;1.105670;1.105890;0
20200301 200600;1.105890;1.105930;1.105750;1.105830;0
20200301 200700;1.105830;1.105970;1.105800;1.105900;0
20200301 200800;1.105910;1.105930;1.105750;1.105760;0
20200301 200900;1.105760;1.105870;1.105760;1.105830;0
20200301 201000;1.105880;1.105940;1.105770;1.105930;0
20200301 201100;1.105930;1.106030;1.105810;1.105860;0
20200301 201200;1.105870;1.106110;1.105870;1.105970;0
20200301 201300;1.105970;1.106170;1.105970;1.106070;0
20200301 201400;1.106060;1.106190;1.105960;1.106140;0
20200301 201500;1.106140;1.106140;1.106060;1.106080;0
20200301 201600;1.106080;1.106090;1.106010;1.106030;0
20200301 201700;1.106040;1.106100;1.106010;1.106070;0
20200301 201800;1.106070;1.106120;1.106050;1.106050;0
20200301 201900;1.106030;1.106120;1.106030;1.106070;0
20200301 202000;1.106080;1.106110;1.105760;1.105770;0
20200301 202100;1.105760;1.105910;1.105700;1.105890;0
20200301 202200;1.105890;1.106080;1.105860;1.106070;0
20200301 202300;1.106090;1.106410;1.106090;1.106410;0
20200301 202400;1.106430;1.106470;1.106330;1.106370;0
20200301 202500;1.106370;1.106460;1.106260;1.106290;0
20200301 202600;1.106300;1.106310;1.106010;1.106090;0
20200301 202700;1.106070;1.106220;1.106050;1.106060;0
20200301 202800;1.106070;1.106180;1.106010;1.106070;0
20200301 202900;1.106080;1.106080;1.105850;1.105930;0
20200301 203000;1.105930;1.106020;1.105850;1.105910;0
20200301 203100;1.105920;1.105960;1.105620;1.105630;0
20200301 203200;1.105620;1.105810;1.105570;1.105780;0
20200301 203300;1.105770;1.105880;1.105620;1.105680;0
20200301 203400;1.105670;1.105920;1.105630;1.105810;0
20200301 203500;1.105800;1.105850;1.105610;1.105720;0
20200301 203600;1.105720;1.105780;1.105560;1.105670;0
20200301 203700;1.105710;1.105800;1.105630;1.105690;0
20200301 203800;1.105690;1.105810;1.105650;1.105750;0
20200301 203900;1.105740;1.105740;1.105560;1.105680;0
20200301 204000;1.105680;1.105680;1.105470;1.105560;0
20200301 204100;1.105550;1.105770;1.105530;1.105760;0
20200301 204200;1.105770;1.105880;1.105740;1.105870;0
20200301 204300;1.105890;1.106020;1.105890;1.105930;0
20200301 204400;1.105920;1.106090;1.105880;1.106010;0
20200301 204500;1.106010;1.106010;1.105730;1.105830;0
20200301 204600;1.105820;1.106000;1.105780;1.105830;0
20200301 204700;1.105840;1.105960;1.105780;1.105870;0
20200301 204800;1.105860;1.105910;1.105520;1.105540;0
20200301 204900;1.105540;1.105660;1.105530;1.105620;0
20200301 205000;1.105620;1.105670;1.105490;1.105570;0
20200301 205100;1.105580;1.105630;1.105490;1.105530;0
20200301 205200;1.105560;1.105590;1.105430;1.105460;0
20200301 205300;1.105460;1.105470;1.105200;1.105260;0
20200301 205400;1.105270;1.105480;1.105260;1.105400;0
20200301 205500;1.105410;1.105460;1.105360;1.105450;0
20200301 205600;1.105450;1.105690;1.105450;1.105650;0
20200301 205700;1.105640;1.105770;1.105620;1.105710;0
20200301 205800;1.105710;1.105830;1.105680;1.105790;0
20200301 205900;1.105790;1.105790;1.105630;1.105650;0
20200301 210000;1.105670;1.105720;1.105540;1.105580;0
20200301 210100;1.105580;1.105920;1.105570;1.105890;0
20200301 210200;1.105880;1.105980;1.105800;1.105900;0
20200301 210300;1.105910;1.106020;1.105850;1.106010;0
20200301 210400;1.106020;1.106250;1.106010;1.106230;0
20200301 210500;1.106210;1.106280;1.106140;1.106210;0
20200301 210600;1.106210;1.106250;1.106070;1.106210;0
20200301 210700;1.106210;1.106250;1.106100;1.106130;0
20200301 210800;1.106120;1.106240;1.106120;1.106130;0
20200301 210900;1.106140;1.106140;1.105850;1.105930;0
20200301 211000;1.105960;1.106010;1.105870;1.105980;0
20200301 211100;1.105970;1.106060;1.105900;1.106030;0
20200301 211200;1.106040;1.106040;1.105850;1.105850;0
20200301 211300;1.105860;1.105950;1.105820;1.105880;0
20200301 211400;1.105860;1.105860;1.105620;1.105660;0
20200301 211500;1.105650;1.105740;1.105610;1.105740;0
20200301 211600;1.105760;1.105830;1.105670;1.105670;0
20200301 211700;1.105680;1.105790;1.105660;1.105730;0
20200301 211800;1.105750;1.105840;1.105680;1.105780;0
